1: Homo_sapiens
706: Bacteroides_faecichinchillae
707: Bacteroides_fluxus
708: Bacteroides_fragilis
709: Bacteroides_graminisolvens
710: Bacteroides_ihuae
711: Bacteroides_luti
712: Bacteroides_neonati
713: Bacteroides_nordii
714: Bacteroides_ovatus
715: Bacteroides_paurosaccharolyticus
716: Bacteroides_pectinophilus
717: Bacteroides_plebeius
718: Bacteroides_propionicifaciens
719: Bacteroides_pyogenes
720: Bacteroides_reticulotermitis
721: Bacteroides_salanitronis
722: Bacteroides_salyersiae
723: Bacteroides_stercoris
724: Bacteroides_thetaiotaomicron
725: Bacteroides_uniformis
726: Bacteroides_vulgatus
727: Balneatrix_alpica
728: Balneola_vulgaris
729: Bariatricus_massiliensis
730: Barnesiella_intestinihominis
731: Barnesiella_viscericola
732: Bartonella_alsatica
733: Bartonella_ancashensis
734: Bartonella_apis
735: Bartonella_australis
736: Bartonella_bacilliformis
737: Bartonella_birtlesii
738: Bartonella_bovis
739: Bartonella_clarridgeiae
740: Bartonella_doshiae
741: Bartonella_florencae
742: Bartonella_grahamii
743: Bartonella_henselae
744: Bartonella_koehlerae
745: Bartonella_quintana
746: Bartonella_rattaustraliani
747: Bartonella_rattimassiliensis
748: Bartonella_rochalimae
749: Bartonella_schoenbuchensis
750: Bartonella_senegalensis
751: Bartonella_tamiae
752: Bartonella_taylorii
753: Bartonella_tribocorum
754: Bartonella_vinsonii
755: Bartonella_washoensis
756: Basilea_psittacipulmonis
757: Bathymodiolus_azoricus
758: Bathymodiolus_platifrons
759: Bauldia_litoralis
760: Bavariicoccus_seileri
761: Bdellovibrio_bacteriovorus
762: Bdellovibrio_exovorus
763: Beduini_massiliensis
764: Beggiatoa_alba
765: Beggiatoa_leptomitiformis
766: Beijerinckia_indica
767: Beijerinckia_mobilis
768: Belliella_baltica
769: Belliella_pelovolcani
770: Bellilinea_caldifistulae
771: Belnapia_moabensis
772: Belnapia_rosea
773: Bergeriella_denitrificans
774: Bergeyella_zoohelcum
775: Bermanella_marisrubri
776: Bernardetia_litoralis
777: Beutenbergia_cavernae
778: Bhargavaea_cecembensis
779: Bibersteinia_trehalosi
780: Bifidobacterium_actinocoloniiforme
781: Bifidobacterium_adolescentis
782: Bifidobacterium_aesculapii
783: Bifidobacterium_angulatum
784: Bifidobacterium_animalis
785: Bifidobacterium_asteroides
786: Bifidobacterium_biavatii
787: Bifidobacterium_bifidum
788: Bifidobacterium_bohemicum
789: Bifidobacterium_bombi
790: Bifidobacterium_breve
791: Bifidobacterium_callitrichos
792: Bifidobacterium_choerinum
793: Bifidobacterium_commune
794: Bifidobacterium_coryneforme
795: Bifidobacterium_crudilactis
796: Bifidobacterium_cuniculi
797: Bifidobacterium_dentium
798: Bifidobacterium_gallicum
799: Bifidobacterium_gallinarum
800: Bifidobacterium_lemurum
801: Bifidobacterium_longum
802: Bifidobacterium_magnum
803: Bifidobacterium_minimum
804: Bifidobacterium_mongoliense
805: Bifidobacterium_pseudolongum
806: Bifidobacterium_psychraerophilum
807: Bifidobacterium_reuteri
808: Bifidobacterium_saguini
809: Bifidobacterium_scardovii
810: Bifidobacterium_stellenboschense
811: Bifidobacterium_subtile
812: Bifidobacterium_thermophilum
813: Bifidobacterium_tsurumiense
814: Bilophila_wadsworthia
815: Bittarella_massiliensis
816: Bizionia_argentinensis
817: Bizionia_echini
818: Bizionia_paragorgiae
819: Blastochloris_viridis
820: Blastococcus_endophyticus
821: Blastococcus_saxobsidens
822: Blastopirellula_marina
823: Blattabacterium_cuenoti
